PdDistrict,Date,IncidntNum
CENTRAL,03/25/2016,52
BAYVIEW,04/02/2016,46
SOUTHERN,10/20/2016,87
TENDERLOIN,06/10/2016,35
CENTRAL,04/29/2016,49
NORTHERN,05/13/2016,59
INGLESIDE,07/09/2016,28
RICHMOND,02/08/2016,14
NORTHERN,12/09/2016,60
INGLESIDE,05/27/2016,33
PARK,07/30/2016,17
CENTRAL,06/02/2016,44
MISSION,04/22/2016,50
SOUTHERN,10/12/2016,92
INGLESIDE,02/27/2016,30
CENTRAL,05/20/2016,38
MISSION,09/02/2016,83
NORTHERN,01/31/2016,54
MISSION,07/15/2016,49
MISSION,01/30/2016,35
RICHMOND,03/13/2016,10
BAYVIEW,07/30/2016,50
TENDERLOIN,05/24/2016,38
MISSION,10/08/2016,89
TARAVAL,12/24/2016,29
NORTHERN,09/20/2016,36
INGLESIDE,04/13/2016,24
MISSION,07/27/2016,50
RICHMOND,05/01/2016,31
NORTHERN,10/16/2016,54
PARK,04/02/2016,23
CENTRAL,04/28/2016,42
NORTHERN,11/20/2016,44
CENTRAL,11/02/2016,36
TARAVAL,03/28/2016,30
MISSION,02/07/2016,63
INGLESIDE,10/27/2016,40
INGLESIDE,12/18/2016,11
BAYVIEW,09/15/2016,49
PARK,12/06/2016,21
TENDERLOIN,01/27/2016,33
CENTRAL,04/25/2016,55
NORTHERN,08/20/2016,43
SOUTHERN,11/12/2016,101
INGLESIDE,12/01/2016,48
INGLESIDE,12/22/2016,39
MISSION,01/03/2016,39
TARAVAL,02/24/2016,35
SOUTHERN,01/17/2016,60
MISSION,07/02/2016,34
SOUTHERN,03/20/2016,56
SOUTHERN,09/24/2016,95
SOUTHERN,08/07/2016,58
TARAVAL,08/30/2016,20
NORTHERN,09/09/2016,49
INGLESIDE,08/13/2016,37
INGLESIDE,10/30/2016,26
TENDERLOIN,08/18/2016,34
NORTHERN,04/03/2016,62
CENTRAL,01/29/2016,43
TENDERLOIN,02/05/2016,27
SOUTHERN,08/25/2016,78
MISSION,11/10/2016,66
INGLESIDE,04/01/2016,61
RICHMOND,01/28/2016,23
PARK,09/15/2016,31
CENTRAL,08/10/2016,40
INGLESIDE,07/21/2016,25
BAYVIEW,12/06/2016,43
TENDERLOIN,06/03/2016,33
TENDERLOIN,08/12/2016,36
TENDERLOIN,04/06/2016,42
RICHMOND,12/08/2016,14
NORTHERN,07/29/2016,60
INGLESIDE,12/03/2016,24
NORTHERN,07/23/2016,58
TENDERLOIN,08/27/2016,19
MISSION,12/11/2016,63
SOUTHERN,01/10/2016,69
RICHMOND,11/18/2016,28
RICHMOND,09/03/2016,24
INGLESIDE,03/19/2016,35
TENDERLOIN,05/18/2016,30
TARAVAL,05/15/2016,34
NORTHERN,03/15/2016,59
MISSION,02/03/2016,52
CENTRAL,10/06/2016,41
CENTRAL,05/11/2016,57
CENTRAL,07/07/2016,37
CENTRAL,07/10/2016,56
NORTHERN,09/26/2016,40
MISSION,10/25/2016,60
SOUTHERN,06/21/2016,74
SOUTHERN,05/10/2016,67
CENTRAL,10/21/2016,57
SOUTHERN,07/13/2016,83
PARK,08/16/2016,22
RICHMOND,06/07/2016,28
CENTRAL,03/10/2016,27
TARAVAL,02/18/2016,27
MISSION,01/26/2016,47
RICHMOND,10/07/2016,25
BAYVIEW,01/20/2016,40
TENDERLOIN,09/16/2016,24
TARAVAL,06/15/2016,29
NORTHERN,08/15/2016,39
TARAVAL,06/13/2016,18
PARK,01/20/2016,26
SOUTHERN,04/24/2016,78
SOUTHERN,06/11/2016,71
CENTRAL,06/20/2016,57
